verse	tag	category	baseStart	baseEnd	ocrStart	ocrEnd	base	hamiltonOcr	baseContext
4	delete	not-seen-in-hamilton-ocr	159	354	615	615	受地獄苦不受如彼所受苦故獄卒若是有情則不應別立獄卒與那落迦互相逼害應不可立彼那落迦此獄卒等獄卒形力若等那落迦彼不應怖獄卒形量力既等應不極相怖獄卒若是實有情應受熱苦而無逼害力應自不能忍受鐵地炎熱猛焰恒燒然苦云何於彼能逼害他獄卒非那落迦趣不應生於地獄非那落迦不應生彼大眾正量部等救義天上現有傍生地獄應有獄卒如何天上現有傍生地獄亦然有傍生鬼為獄卒等論主駁救天上傍生能受彼器所生樂地獄獄卒不受彼苦等		情且此不應那落迦攝獄卒不受地獄苦不受如彼所受苦故獄卒若是有情則不應別立獄卒與那落迦互相逼害應不可立彼那落迦此獄卒等獄卒形力若等那落迦彼不應怖獄卒形量力既等應不極相怖獄卒若是實有情應受熱苦而無逼害力應自不能忍受鐵地炎熱猛焰恒燒然苦云何於彼能逼害他獄卒非那落迦趣不應生於地獄非那落迦不應生彼大眾正量部等救義天上現有傍生地獄應有獄卒如何天上現有傍生地獄亦然有傍生鬼為獄卒等論主駁救天上傍生能受彼器所生樂地獄獄卒不受彼苦等
5	delete	not-seen-in-hamilton-ocr	0	15	615	615	如天上傍生地獄中不爾所執傍生鬼		如天上傍生地獄中不爾所執傍生鬼不受彼苦故論曰諸有傍生生
5	replace	review-required	21	23	621	622	曰諸	日	爾所執傍生鬼不受彼苦故論曰諸有傍生生天上者必有能感彼
5	insert	extra-in-hamilton-ocr	53	53	652	727		旁生地獄亦然有旁生鬼獄卒等一此救不然頌日如天上傍生地獄中不爾所執傍生鬼相怖應自不能忍受鐵地淡熱猛燄恆燒燃苦云何於彼能逼害他非捺落迦不應生彼如何天上現有	受器所生樂非獄卒等受地獄中器所生苦故不應許傍生鬼
5	replace	possible-single-character-variant	67	68	741	742	那	捺	所生苦故不應許傍生鬼趣生那落迦有部申義獄卒為異大種
5	delete	not-seen-in-hamilton-ocr	70	82	744	744	有部申義獄卒為異大種所顯		故不應許傍生鬼趣生那落迦有部申義獄卒為異大種所顯若爾應許彼那落迦業增上力
5	replace	possible-single-character-variant	87	88	749	750	那	捺	卒為異大種所顯若爾應許彼那落迦業增上力生異大種起勝
5	replace	possible-single-character-variant	91	92	753	754	增	堉	種所顯若爾應許彼那落迦業增上力生異大種起勝形顯量力
5	insert	extra-in-hamilton-ocr	94	94	756	791		乍離乍合剛鐵林刺或低或昂非事全無然不應理頌日若許由業力有異大種生起是轉	若爾應許彼那落迦業增上力生異大種起勝形顯量力差別
5	delete	not-seen-in-hamilton-ocr	98	99	795	795	起		彼那落迦業增上力生異大種起勝形顯量力差別於彼施設獄
5	delete	not-seen-in-hamilton-ocr	109	110	805	805	設		種起勝形顯量力差別於彼施設獄卒等名為生彼怖變現種種
5	delete	not-seen-in-hamilton-ocr	114	115	809	809	為		量力差別於彼施設獄卒等名為生彼怖變現種種動手足等差
5	delete	not-seen-in-hamilton-ocr	118	119	812	812	變		於彼施設獄卒等名為生彼怖變現種種動手足等差別作用如
5	delete	not-seen-in-hamilton-ocr	134	148	827	827	乍離乍合剛鐵林刺或低或昂頌曰		動手足等差別作用如羝羊山乍離乍合剛鐵林刺或低或昂頌曰
6	delete	not-seen-in-hamilton-ocr	0	15	827	827	若許由業力有異大種生起如是轉變		若許由業力有異大種生起如是轉變於識何不許論曰何緣不許識
6	replace	possible-single-character-variant	21	22	833	834	曰	日	生起如是轉變於識何不許論曰何緣不許識由業力如是轉變
6	delete	not-seen-in-hamilton-ocr	33	34	845	845	變		曰何緣不許識由業力如是轉變而執大種七破經量部業熏內
6	delete	not-seen-in-hamilton-ocr	38	54	849	849	七破經量部業熏內識果生於外的主張		識由業力如是轉變而執大種七破經量部業熏內識果生於外的主張復次頌曰
6	delete	not-seen-in-hamilton-ocr	55	56	850	850	次		業熏內識果生於外的主張復次頌曰
6	replace	possible-single-character-variant	57	58	851	852	曰	日	內識果生於外的主張復次頌曰
7	replace	review-required	0	76	851	852	業熏習餘處執餘處有果所熏識有果不許有何因論曰執那落迦由自業力生差別大種起形等轉變彼業熏習理應許在識相續中不在餘處有熏習識汝便不許有果轉變無熏習處翻執有果	日	業熏習餘處執餘處有果所熏識有果不許有何因論曰執那落迦由自業力生差別大種起形等轉變彼業熏習理應許在識相續中不在餘處有熏習識汝便不許有果轉變無熏習處翻執有果此有何因有教為因謂若唯識
7	replace	possible-single-character-variant	81	82	857	858	教	敎	熏習處翻執有果此有何因有教為因謂若唯識似色等現無別
7	insert	extra-in-hamilton-ocr	104	104	880	888		此敎非因有別意故	無別色等佛不應說有色等處頌曰
7	replace	review-required	105	106	889	962	曰	日等轉彼業熏習理應許在識和續中不在餘處有熏習處汝便不許有轉無熏習處翻有果業熏習餘處執餘處有果所熏識有果不許有何因論日執捺落迦山自業力生差別大種起形	別色等佛不應說有色等處頌曰
8	delete	not-seen-in-hamilton-ocr	6	7	968	968	尊		依彼所化生世尊密意趣說有色等處如化生有
8	delete	not-seen-in-hamilton-ocr	10	11	971	971	說		依彼所化生世尊密意趣說有色等處如化生有情論曰如
8	delete	not-seen-in-hamilton-ocr	13	14	973	973	等		彼所化生世尊密意趣說有色等處如化生有情論曰如佛說有
8	replace	possible-single-character-variant	21	22	980	981	曰	日	趣說有色等處如化生有情論曰如佛說有化生有情彼但依心
8	replace	possible-single-character-variant	79	80	1038	1039	教	敎	處契經亦爾依所化生宜受彼教密意趣說非別害有
8	delete	not-seen-in-hamilton-ocr	86	87	1045	1045	害		化生宜受彼教密意趣說非別害有
8	insert	extra-in-hamilton-ocr	88	88	1046	1056		依何密意說色等十頌日	宜受彼教密意趣說非別害有
9	insert	extra-in-hamilton-ocr	0	0	1046	1056		依何密意說色等十頌日	識從自種生似境相而轉為成
9	insert	extra-in-hamilton-ocr	10	10	1066	1070		所現色如	識從自種生似境相而轉為成內外處佛說彼為十論曰
9	insert	extra-in-hamilton-ocr	11	11	1071	1100		處色處如是乃至似觸現自種子緣合轉差別而生佛依彼種及所現觸如	識從自種生似境相而轉為成內外處佛說彼為十論曰此
9	replace	possible-single-character-variant	21	22	1110	1111	曰	日	轉為成內外處佛說彼為十論曰此說何義似色現識從自種子
9	delete	not-seen-in-hamilton-ocr	37	38	1126	1126	變		義似色現識從自種子緣合轉變差別而生佛依彼種及所現色
9	replace	possible-single-character-variant	39	40	1127	1128	別	圳	色現識從自種子緣合轉變差別而生佛依彼種及所現色如次
9	delete	not-seen-in-hamilton-ocr	47	88	1135	1135	所現色如次說為眼處色處如是乃至似觸現識從自種子緣合轉變差別而生佛依彼種及所現觸如次		合轉變差別而生佛依彼種及所現色如次說為眼處色處如是乃至似觸現識從自種子緣合轉變差別而生佛依彼種及所現觸如次說為身處觸處依斯密意說色
9	replace	possible-single-character-variant	111	112	1158	1159	曰	日	色等十此密意說有何勝利頌曰依此教能入數取趣無我所執
9	replace	possible-single-character-variant	114	115	1161	1162	教	敎	此密意說有何勝利頌曰依此教能入數取趣無我所執法無我
9	insert	extra-in-hamilton-ocr	122	122	1169	1208		六識轉鄱無見者乃至知者應受有情無我敎者便能悟入有情無我復依此餘說識敎受化者能人	頌曰依此教能入數取趣無我所執法無我復依餘教入論曰
9	replace	possible-single-character-variant	123	124	1209	1210	執	所	曰依此教能入數取趣無我所執法無我復依餘教入論曰
9	replace	possible-single-character-variant	130	131	1216	1217	教	敎	取趣無我所執法無我復依餘教入論曰
9	replace	possible-single-character-variant	133	134	1219	1220	曰	日	我所執法無我復依餘教入論曰
10	replace	review-required	5	6	1225	1227	二	一一	依此所說十二處教受化者能入數取趣無我
10	replace	possible-single-character-variant	7	8	1228	1229	教	敎	依此所說十二處教受化者能入數取趣無我謂若
10	delete	not-seen-in-hamilton-ocr	27	68	1248	1248	六識轉都無見者乃至知者應受有情無我教者便能悟入有情無我復依此餘說唯識教受化者能入所		趣無我謂若了知從六二法有六識轉都無見者乃至知者應受有情無我教者便能悟入有情無我復依此餘說唯識教受化者能入所執法無我謂若了知唯識現似
10	delete	not-seen-in-hamilton-ocr	94	95	1274	1274	諸		法起此中都無色等相法應受諸法無我教者便能悟入諸法無
10	replace	possible-single-character-variant	98	99	1277	1278	教	敎	都無色等相法應受諸法無我教者便能悟入諸法無我若知諸
10	delete	not-seen-in-hamilton-ocr	104	105	1283	1283	諸		應受諸法無我教者便能悟入諸法無我若知諸法一切種無入
10	delete	not-seen-in-hamilton-ocr	108	147	1286	1286	若知諸法一切種無入法無我是則唯識亦畢竟無何所安立非知諸法一切種無乃得名為入法無		無我教者便能悟入諸法無我若知諸法一切種無入法無我是則唯識亦畢竟無何所安立非知諸法一切種無乃得名為入法無我然達愚夫遍計所執自性差
10	replace	possible-single-character-variant	152	153	1291	1292	遍	徧	乃得名為入法無我然達愚夫遍計所執自性差別諸法無我如
10	replace	review-required	173	175	1312	1349	諸佛	亻若知法一切種無入法無我是則睵亦竟無何所安立非知法一切種無乃得名為入法無弗	法無我如是乃名入法無我非諸佛境離言法性亦都無故名法無
10	insert	extra-in-hamilton-ocr	188	188	1362	1390		處非別實有色等外法為色等識別境耶頌日以彼境非一極微不成故	離言法性亦都無故名法無我餘識所執此唯識性其體亦無
10	delete	not-seen-in-hamilton-ocr	213	214	1415	1415	唯		法無我不爾餘識所執境有則唯識理應不得成許諸餘識有實
10	replace	possible-single-character-variant	221	222	1422	1423	諸	諾	執境有則唯識理應不得成許諸餘識有實境故由此道理說立
10	delete	not-seen-in-hamilton-ocr	234	235	1435	1435	唯		餘識有實境故由此道理說立唯識教普令悟入一切法無我非
10	replace	possible-single-character-variant	236	237	1436	1437	教	敎	有實境故由此道理說立唯識教普令悟入一切法無我非一切
10	delete	not-seen-in-hamilton-ocr	238	239	1438	1438	令		境故由此道理說立唯識教普令悟入一切法無我非一切種撥
10	delete	not-seen-in-hamilton-ocr	254	263	1453	1453	四論破色法極微所成		切法無我非一切種撥有性故四論破色法極微所成復云何知佛依如是密意趣說
10	replace	possible-single-character-variant	269	270	1459	1460	如	茹	色法極微所成復云何知佛依如是密意趣說有色等處非別實
10	replace	possible-single-character-variant	278	279	1468	1469	處	亦	知佛依如是密意趣說有色等處非別實有色等外法為色等識
10	replace	review-required	280	298	1470	1471	別實有色等外法為色等識各別境耶一破極	多	依如是密意趣說有色等處非別實有色等外法為色等識各別境耶一破極微和合義頌曰
10	insert	extra-in-hamilton-ocr	299	299	1472	1473		非	為色等識各別境耶一破極微和合義頌曰
10	replace	review-required	301	304	1475	1477	義頌曰	等且	等識各別境耶一破極微和合義頌曰
11	replace	review-required	0	1	1475	1477	以	等且	以彼境非一亦非多極微又非和
11	insert	extra-in-hamilton-ocr	2	2	1478	1479		外	以彼境非一亦非多極微又非和合
11	insert	extra-in-hamilton-ocr	3	3	1480	1482		理應	以彼境非一亦非多極微又非和合等
11	insert	extra-in-hamilton-ocr	5	5	1484	1496		有分色體異分色不可取故玾	以彼境非一亦非多極微又非和合等極微
11	replace	review-required	10	11	1501	1508	又	別不可取故叹玾	以彼境非一亦非多極微又非和合等極微不成故論曰此
11	replace	review-required	14	20	1511	1512	等極微不成故	或	境非一亦非多極微又非和合等極微不成故論曰此何所說謂若實有外色
11	replace	possible-single-character-variant	21	22	1513	1514	曰	日	微又非和合等極微不成故論曰此何所說謂若實有外色等處
11	replace	possible-single-character-variant	38	39	1530	1531	各	齐	謂若實有外色等處與色等識各別為境如是外境或應是一如
11	replace	possible-single-character-variant	42	43	1534	1535	如	茹	外色等處與色等識各別為境如是外境或應是一如勝論者執
11	delete	not-seen-in-hamilton-ocr	51	52	1543	1543	勝		別為境如是外境或應是一如勝論者執有分色或應是多如執
11	delete	not-seen-in-hamilton-ocr	54	55	1545	1545	執		如是外境或應是一如勝論者執有分色或應是多如執實有眾
11	delete	not-seen-in-hamilton-ocr	61	62	1551	1551	多		一如勝論者執有分色或應是多如執實有眾多極微各別為境
11	delete	not-seen-in-hamilton-ocr	70	71	1559	1559	各		或應是多如執實有眾多極微各別為境或應多極微和合及和
11	delete	not-seen-in-hamilton-ocr	77	78	1565	1565	極		有眾多極微各別為境或應多極微和合及和集如執實有眾多
11	delete	not-seen-in-hamilton-ocr	88	89	1575	1575	眾		多極微和合及和集如執實有眾多極微皆共和合和集為境且
11	replace	review-required	100	138	1586	1587	且彼外境理應非一有分色體異諸分色不可取故理亦非多極微各別不可取故又理非和合或	乁	眾多極微皆共和合和集為境且彼外境理應非一有分色體異諸分色不可取故理亦非多極微各別不可取故又理非和合或和集為境一實極微理不成故
11	replace	possible-single-character-variant	146	147	1595	1596	理	玾	非和合或和集為境一實極微理不成故云何不成頌曰
11	replace	possible-single-character-variant	155	156	1604	1605	曰	日	實極微理不成故云何不成頌曰
12	replace	review-required	0	4	1604	1605	極微與六	日	極微與六合一應成六分若與六同處聚
12	replace	review-required	5	9	1606	1609	一應成六	理有方	極微與六合一應成六分若與六同處聚應如極微論
12	delete	not-seen-in-hamilton-ocr	10	45	1610	1610	若與六同處聚應如極微論曰若一極微六方各與一極微合應成六分一處無容有餘處		極微與六合一應成六分若與六同處聚應如極微論曰若一極微六方各與一極微合應成六分一處無容有餘處故一極微處若有六微應諸聚
12	delete	not-seen-in-hamilton-ocr	46	73	1611	1611	一極微處若有六微應諸聚色如極微量展轉相望不過量故則應聚		應成六分一處無容有餘處故一極微處若有六微應諸聚色如極微量展轉相望不過量故則應聚色亦不可見加濕彌羅國毘婆
12	replace	possible-single-character-variant	78	79	1616	1617	加	迦	不過量故則應聚色亦不可見加濕彌羅國毘婆沙師言非諸極
12	replace	review-required	83	85	1621	1622	毘婆	比	應聚色亦不可見加濕彌羅國毘婆沙師言非諸極微有相合義無
12	replace	review-required	89	91	1626	1627	諸極	詣	見加濕彌羅國毘婆沙師言非諸極微有相合義無方分故離如前
12	replace	review-required	110	112	1646	1650	合理	分一處無	分故離如前失但諸聚色有相合理有方分故
12	replace	review-required	113	115	1651	1653	方分	餘處	如前失但諸聚色有相合理有方分故
12	insert	extra-in-hamilton-ocr	116	116	1654	1656		丶一	但諸聚色有相合理有方分故
13	insert	extra-in-hamilton-ocr	0	0	1654	1656		丶一	極微既無合聚有合者誰或相
13	replace	review-required	2	4	1658	1684	既無	處有六微應諸聚色如極微量展轉和不過量故則應聚極微與六	極微既無合聚有合者誰或相合不成不
13	replace	review-required	5	7	1685	1711	聚有	一應成六分若與六同處褧應如極微論日若極微六方與一椓微	極微既無合聚有合者誰或相合不成不由無方
13	replace	review-required	8	14	1712	1713	者誰或相合不	應	極微既無合聚有合者誰或相合不成不由無方分論曰今應詰彼
13	replace	review-required	15	27	1714	1715	不由無方分論曰今應詰彼所	六	無合聚有合者誰或相合不成不由無方分論曰今應詰彼所說理趣既異極微無別聚色極
13	delete	not-seen-in-hamilton-ocr	30	31	1718	1718	既		方分論曰今應詰彼所說理趣既異極微無別聚色極微無合聚
13	insert	extra-in-hamilton-ocr	38	38	1725	1726		微	所說理趣既異極微無別聚色極微無合聚合者誰若轉救言
13	delete	not-seen-in-hamilton-ocr	39	40	1727	1727	微		說理趣既異極微無別聚色極微無合聚合者誰若轉救言聚色
13	delete	not-seen-in-hamilton-ocr	54	55	1741	1741	亦		聚合者誰若轉救言聚色展轉亦無合義則不應言極微無合無
13	replace	review-required	83	85	1769	1770	不由	山	有方分亦不許合故極微無合不由無方分是故一實極微不成又
13	replace	possible-single-character-variant	96	97	1781	1782	又	叹	由無方分是故一實極微不成又許極微合與不合其過且爾二
13	delete	not-seen-in-hamilton-ocr	108	118	1793	1793	二以有無方分論破極微		又許極微合與不合其過且爾二以有無方分論破極微若許極微有分無分俱為大失
13	replace	review-required	134	136	1809	1810	頌曰	日	有分無分俱為大失所以者何頌曰
14	replace	review-required	10	16	1820	1822	無應影障無聚	此亦	極微有方分理不應成一無應影障無聚不異無二論曰以一極微六方
14	replace	review-required	17	24	1823	1826	異無二論曰以一	然頌日	理不應成一無應影障無聚不異無二論曰以一極微六方分異多分為體云何
14	replace	review-required	26	36	1828	1840	六方分異多分為體云何	旣無合聚有合者誰或和合不	無聚不異無二論曰以一極微六方分異多分為體云何成一若一極微無異方分日輪
14	replace	review-required	37	42	1841	1843	一若一極微	不山	微六方分異多分為體云何成一若一極微無異方分日輪纔舉光照觸時
14	replace	review-required	43	46	1844	1846	異方分	力論	分為體云何成一若一極微無異方分日輪纔舉光照觸時云何餘邊
14	replace	review-required	47	67	1847	1851	輪纔舉光照觸時云何餘邊得有影現以無餘分光	今應詰彼	何成一若一極微無異方分日輪纔舉光照觸時云何餘邊得有影現以無餘分光所不及又執極微無方分者云
14	delete	not-seen-in-hamilton-ocr	68	82	1852	1852	不及又執極微無方分者云何此彼		餘邊得有影現以無餘分光所不及又執極微無方分者云何此彼展輪相障以無餘分他所不行
14	replace	possible-single-character-variant	83	84	1853	1854	輪	轉	執極微無方分者云何此彼展輪相障以無餘分他所不行可說
14	replace	possible-single-character-variant	100	101	1870	1871	相	和	餘分他所不行可說此彼展轉相礙既不相礙應諸極微展轉處
14	delete	not-seen-in-hamilton-ocr	102	103	1872	1872	既		他所不行可說此彼展轉相礙既不相礙應諸極微展轉處同則
14	replace	possible-single-character-variant	104	105	1873	1874	相	和	不行可說此彼展轉相礙既不相礙應諸極微展轉處同則諸色
14	delete	not-seen-in-hamilton-ocr	111	112	1880	1880	轉		轉相礙既不相礙應諸極微展轉處同則諸色聚同一極微量過
14	insert	extra-in-hamilton-ocr	122	122	1890	1958		方分日舉光照觸時云何邊得有影現以無餘分光所不及叹執極微無方分者丶云何此彼無應影障無聚不異無二論日以一極微六方分異多分體云何成一若一微無異	展轉處同則諸色聚同一極微量過如前說云何不許影障屬
14	delete	not-seen-in-hamilton-ocr	127	155	1963	1963	云何不許影障屬聚不屬極微若爾聚應無二發影為障謂若聚色不異		諸色聚同一極微量過如前說云何不許影障屬聚不屬極微若爾聚應無二發影為障謂若聚色不異極微影障應成不屬聚色安布
14	delete	not-seen-in-hamilton-ocr	158	159	1966	1966	障		影為障謂若聚色不異極微影障應成不屬聚色安布差別立為
14	insert	extra-in-hamilton-ocr	165	165	1972	1976		覺慧分析	不異極微影障應成不屬聚色安布差別立為極微或立為聚
14	delete	not-seen-in-hamilton-ocr	175	176	1986	1986	為		聚色安布差別立為極微或立為聚俱非一實三破境是一何用
14	delete	not-seen-in-hamilton-ocr	181	186	1991	1991	三破境是一		立為極微或立為聚俱非一實三破境是一何用思擇極微聚為猶未能遮
14	insert	extra-in-hamilton-ocr	194	194	1999	2035		云何不許影屬聚不屬極微異極微許有聚色發影障不爾若爾聚應無一一謂若聚色不異	破境是一何用思擇極微聚為猶未能遮外色等相頌曰
14	replace	review-required	202	204	2043	2069	頌曰	此復何和等境亦是靑等色等性應共審思此眼等境靑等實性為	極微聚為猶未能遮外色等相頌曰
15	insert	extra-in-hamilton-ocr	1	1	2070	2083		為多爾何失二俱有過多過如前	一應無次行俱時至未至及多有
15	delete	not-seen-in-hamilton-ocr	3	4	2085	2085	次		一應無次行俱時至未至及多有間事并
15	replace	possible-single-character-variant	5	6	2086	2087	俱	供	一應無次行俱時至未至及多有間事并難見
15	replace	review-required	15	17	2096	2097	并難	幷	次行俱時至未至及多有間事并難見細物第一難無次行論曰若
15	delete	not-seen-in-hamilton-ocr	20	26	2100	2100	第一難無次行		未至及多有間事并難見細物第一難無次行論曰若無隔別所有青等眼所
15	replace	possible-single-character-variant	27	28	2101	2102	曰	日	并難見細物第一難無次行論曰若無隔別所有青等眼所行境
15	replace	possible-single-character-variant	34	35	2108	2109	青	靑	難無次行論曰若無隔別所有青等眼所行境執為一物應無漸
15	delete	not-seen-in-hamilton-ocr	36	37	2110	2110	眼		次行論曰若無隔別所有青等眼所行境執為一物應無漸次行
15	replace	review-required	41	42	2114	2151	為	得未得故叹一方處應不得有多象等有間隙事若處有一亦即有餘云何此彼可辨差別或二	無隔別所有青等眼所行境執為一物應無漸次行大地理若下
15	replace	review-required	60	70	2169	2170	第二難無俱時至未至又	叹	行大地理若下一足至一切故第二難無俱時至未至又應俱時於此於彼無至未至一
15	replace	possible-single-character-variant	71	72	2171	2172	俱	供	故第二難無俱時至未至又應俱時於此於彼無至未至一物一
15	delete	not-seen-in-hamilton-ocr	85	86	2185	2185	理		於此於彼無至未至一物一時理不應有得未得故第三難無多
15	delete	not-seen-in-hamilton-ocr	89	118	2188	2188	得未得故第三難無多事又一方處應不得有多象馬等有間隙事若處有		無至未至一物一時理不應有得未得故第三難無多事又一方處應不得有多象馬等有間隙事若處有一亦即有餘云何此彼可辯差
15	replace	review-required	120	146	2190	2194	即有餘云何此彼可辯差別第四難無有多間或二象馬如何可於	非理頌日	象馬等有間隙事若處有一亦即有餘云何此彼可辯差別第四難無有多間或二象馬如何可於一處有至不至中間見空第五
